frame_id,x,y
116,650.0,371.0
117,650.0,380.0
118,650.0,390.0
119,650.0,400.0
120,648.0,410.0
121,646.0,420.0
122,641.0,431.0
123,636.0,442.0
124,628.0,450.0
125,620.0,458.0
126,608.0,469.0
127,596.0,480.0
128,581.0,492.0
129,566.0,504.0
130,550.0,515.0
131,534.0,526.0
132,522.0,536.0
133,510.0,546.0
134,516.0,554.0
135,522.0,562.0
136,530.0,567.0
137,538.0,572.0
138,543.0,577.0
139,548.0,582.0
140,549.0,588.0
141,550.0,594.0
142,555.0,601.0
143,560.0,608.0
144,567.0,615.0
145,574.0,622.0
146,582.0,629.0
147,590.0,636.0
148,600.0,643.0
149,610.0,650.0
150,623.0,655.0
151,636.0,660.0
152,655.0,663.0
153,674.0,666.0
154,689.0,669.0
155,704.0,672.0
156,704.0,674.0
157,704.0,676.0
158,706.0,677.0
159,708.0,678.0
160,710.0,678.0
161,712.0,678.0
162,714.0,681.0
163,716.0,684.0
164,719.0,685.0
165,722.0,686.0
166,731.0,679.0
167,740.0,672.0
168,753.0,660.0
169,766.0,648.0
170,778.0,634.0
171,790.0,620.0
172,801.0,607.0
173,812.0,594.0
174,822.0,582.0
175,832.0,570.0
176,844.0,555.0
177,856.0,540.0
178,862.0,537.0
179,868.0,534.0
180,869.0,534.0
181,870.0,534.0
182,871.0,534.0
183,872.0,534.0
184,875.0,534.0
185,878.0,534.0
186,878.0,533.0
187,878.0,532.0
188,880.0,532.0
189,882.0,532.0
190,879.0,528.0
191,876.0,524.0
192,873.0,515.0
193,870.0,506.0
194,865.0,489.0
195,860.0,472.0
196,860.0,456.0
197,860.0,440.0
198,857.0,424.0
199,854.0,408.0
200,850.0,390.0
201,846.0,372.0
202,838.0,356.0
203,830.0,340.0
204,820.0,326.0
205,810.0,312.0
206,799.0,297.0
207,788.0,282.0
208,780.0,272.0
209,772.0,262.0
210,776.0,262.0
211,780.0,262.0
212,785.0,263.0
213,790.0,264.0
214,794.0,266.0
215,798.0,268.0
216,799.0,269.0
217,800.0,270.0
218,808.0,272.0
219,816.0,274.0
220,824.0,278.0
221,832.0,282.0
222,828.0,277.0
223,824.0,272.0
224,814.0,263.0
225,804.0,254.0
226,791.0,243.0
227,778.0,232.0
228,763.0,218.0
229,748.0,204.0
230,729.0,194.0
231,710.0,184.0
232,692.0,172.0
233,674.0,160.0
234,651.0,151.0
235,628.0,142.0
236,607.0,131.0
237,586.0,120.0
238,563.0,111.0
239,540.0,102.0
240,517.0,93.0
241,494.0,84.0
242,472.0,73.0
243,450.0,62.0
244,424.0,51.0
245,398.0,40.0
246,371.0,32.0
247,344.0,24.0
248,317.0,15.0
249,290.0,6.0
250,259.0,3.0
251,228.0,0.0
252,204.0,0.0
253,180.0,0.0
254,156.0,0.0
255,132.0,0.0
256,105.0,0.0
257,78.0,0.0
258,49.0,0.0
259,20.0,0.0
260,10.0,1.0
261,0.0,2.0
262,0.0,1.0
263,0.0,0.0
264,0.0,2.0
265,0.0,4.0
266,0.0,7.0
267,0.0,10.0
268,0.0,14.0
269,0.0,18.0
270,0.0,22.0
271,0.0,26.0
272,0.0,29.0
273,0.0,32.0
274,0.0,35.0
275,0.0,38.0
276,0.0,39.0
277,0.0,40.0
278,0.0,42.0
279,0.0,44.0
280,0.0,43.0
281,0.0,42.0
282,0.0,44.0
283,0.0,46.0
284,0.0,48.0
285,0.0,50.0
286,1.0,53.0
287,2.0,56.0
288,4.0,60.0
289,6.0,64.0
290,5.0,69.0
291,4.0,74.0
292,4.0,78.0
293,4.0,82.0
294,4.0,87.0
295,4.0,92.0
296,6.0,97.0
297,8.0,102.0
298,14.0,104.0
299,20.0,106.0
300,30.0,111.0
301,40.0,116.0
302,53.0,119.0
303,66.0,122.0
304,86.0,123.0
305,106.0,124.0
306,127.0,125.0
307,148.0,126.0
308,171.0,125.0
309,194.0,124.0
310,217.0,125.0
311,240.0,126.0
312,251.0,126.0
313,262.0,126.0
314,265.0,125.0
315,268.0,124.0
316,272.0,122.0
317,276.0,120.0
318,280.0,119.0
319,284.0,118.0
