timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,head_pos_x,head_pos_y
1719372754.3485498,752,346,609,337,674,430
1719372754.4155369,751,343,610,336,674,428
1719372754.4896839,750,342,610,337,673,429
1719372754.548886,751,342,611,336,674,428
1719372754.61572,751,339,610,334,674,426
1719372754.683381,751,334,611,330,674,425
1719372754.749472,752,329,614,328,675,424
1719372754.8168058,753,327,609,320,674,423
1719372754.884755,754,328,611,321,674,423
1719372754.951385,754,326,607,317,673,423
1719372755.018631,755,324,613,317,674,422
1719372755.0861251,755,325,616,317,676,420
1719372755.1520069,756,326,613,315,675,420
1719372755.21894,757,323,614,319,675,421
1719372755.286616,756,325,614,318,675,421
1719372755.353348,757,327,614,318,676,420
1719372755.419698,759,326,616,318,676,420
1719372755.461428,760,326,616,317,676,419
1719372755.519714,758,325,616,317,676,419
1719372755.586747,759,324,616,316,677,419
1719372755.654217,760,325,615,315,678,419
1719372755.720615,759,326,617,317,677,420
1719372755.7882738,754,331,618,330,678,423
1719372755.855907,755,340,615,334,678,425
1719372755.921939,754,340,612,333,677,424
1719372755.9886909,753,339,611,333,677,424
1719372756.056416,755,340,611,332,677,424
1719372756.122308,755,341,613,332,677,424
1719372756.190196,754,340,613,331,678,424
1719372756.258377,755,338,612,332,678,424
1719372756.3234198,755,339,611,333,678,424
1719372756.390496,757,335,615,331,678,423
1719372756.432121,760,333,618,327,679,422
1719372756.4914858,766,327,622,322,680,420
1719372756.558561,768,331,624,320,681,420
1719372756.625886,775,329,625,317,682,418
1719372756.69216,775,328,624,317,683,418
1719372756.75872,776,327,628,317,684,417
1719372756.827191,777,329,628,313,685,417
1719372756.8923252,776,326,631,317,686,417
1719372756.95985,778,325,630,317,686,417
1719372757.027801,780,328,630,318,687,418
1719372757.0936809,779,328,630,316,685,417
1719372757.160616,780,329,631,317,685,419
1719372757.227859,781,329,632,314,687,417
1719372757.294473,781,328,631,317,688,417
1719372757.361403,778,331,633,317,687,418
1719372757.404937,761,331,629,320,685,418
1719372757.4617941,757,333,630,325,686,421
1719372757.528573,760,336,621,329,684,422
1719372757.596884,759,336,622,327,685,421
1719372757.662977,761,336,624,331,687,423
1719372757.7306418,758,337,622,331,684,423
1719372757.798513,761,337,620,331,684,423
1719372757.863369,759,335,618,331,684,423
1719372757.9303522,756,338,616,333,683,424
1719372757.9980989,749,340,613,336,681,425
1719372758.064013,750,343,615,338,680,427
1719372758.131806,746,344,615,338,679,427
1719372758.1986089,746,347,611,340,677,428
1719372758.265097,745,346,611,342,677,430
1719372758.331448,744,348,609,342,676,430
1719372758.3746932,745,349,608,343,674,431
1719372758.436296,742,351,605,343,673,431
1719372758.500771,740,350,602,345,672,432
1719372758.56638,739,351,603,345,672,432
1719372758.63236,737,353,606,345,671,433
1719372758.6990001,737,352,607,344,671,433
1719372758.768106,744,347,607,341,672,431
1719372758.8347058,748,342,605,339,672,430
1719372758.9070332,749,341,607,338,673,429
1719372758.9721081,748,342,606,338,671,429
1719372759.034886,748,343,607,335,671,428
1719372759.102758,750,342,608,334,672,428
1719372759.169593,749,343,610,335,672,429
1719372759.236289,749,342,609,338,671,429
1719372759.3032892,747,342,606,337,670,427
1719372759.344615,746,341,603,337,669,428
1719372759.4031098,746,340,604,339,668,428
1719372759.4703119,745,342,603,337,667,429
1719372759.5380192,746,340,605,338,670,429
1719372759.605527,750,333,613,335,679,423
1719372759.673287,767,328,632,331,696,419
1719372759.74114,791,326,655,329,723,419
1719372759.812242,817,326,675,325,742,416
1719372759.8796532,815,327,700,324,764,417
1719372759.949491,851,336,717,324,785,414
1719372760.0177531,865,329,727,321,796,411
1719372760.083894,865,335,726,318,795,411
1719372760.151061,863,329,728,315,791,407
1719372760.217552,853,329,719,318,783,408
1719372760.283562,835,329,697,314,758,405
1719372760.3326788,825,329,694,315,752,409
1719372760.390027,799,328,662,312,720,405
1719372760.455937,772,327,631,318,697,404
1719372760.521249,746,328,608,315,668,404
1719372760.586636,721,321,585,319,647,405
1719372760.650932,695,321,560,317,627,401
1719372760.717773,678,321,546,323,609,404
1719372760.7824152,668,320,533,322,600,402
1719372760.8472571,667,317,534,319,594,402
1719372760.9148748,671,316,536,319,599,402
1719372760.9852228,679,317,547,321,611,401
1719372761.051233,702,318,566,316,629,402
